date,ind,rain,ind,maxt,ind,mint,gmin,soil
06-Feb-14,0,2,0,7,0,0.5,0.5, 
07-Feb-14,0,12.3,0,6.7,0,1,-2.5, 
08-Feb-14,0,5.7,0,7.1,0,1,-0.5, 
09-Feb-14,0,9.5,4, ,0,3.2,2, 
10-Feb-14,0,6.3,4, ,0,1.5,0.5, 
11-Feb-14,0,12.5,4, ,0,0.1,-0.5, 
12-Feb-14,0,14.8,4, ,1,-0.5,-0.5, 
13-Feb-14,0,5.1,4, ,0,2.5,2, 
14-Feb-14,0,23.1,4, ,0,2,0.2, 
15-Feb-14,0,0.2,4, ,0,2.3,-0.1, 
16-Feb-14,0,3.9,4, ,0,1.9,1, 
17-Feb-14,0,0.2,4, ,0,3,1.9, 
18-Feb-14,0,1.3,4, ,0,6,5.5, 
19-Feb-14,0,38.1,4, ,0,4.9,4.5, 
20-Feb-14,0,5.6,4, ,0,3.9,2.5, 
21-Feb-14,0,5.9,4, ,0,4.1,3, 
22-Feb-14,0,24.1,4, ,0,4,2, 
23-Feb-14,0,2.4,4, ,0,6,3.8, 
24-Feb-14,0,10.9,4, ,0,4.4,4, 
25-Feb-14,0,5.4,4, ,0,5,4.1, 
26-Feb-14,0,5.3,4, ,0,5.4,3.5, 
27-Feb-14,0,3.1,4, ,0,2.8,1, 
28-Feb-14,0,3.2,4, ,0,2.1,1, 
01-Mar-14,0,7.6,4, ,0,3.6,0.4, 
02-Mar-14,0,3.6,4, ,1,-0.5,-1.5, 
03-Mar-14,0,3.5,4, ,0,2.6,2.5, 
04-Mar-14,0,0.5,4, ,0,5,3.6, 
05-Mar-14,0,8.3,4, ,0,5.1,3.7, 
06-Mar-14,0,13,4, ,0,4,2.9, 
07-Mar-14,0,3.5,4, ,0,3.2,1.5, 
08-Mar-14,0,4.1,4, ,0,5,5, 
09-Mar-14,0,1,4, ,0,4.5,1.5, 
10-Mar-14,4,0,4, ,0,3.5,2, 
11-Mar-14,0,0,4, ,0,0.6,0, 
12-Mar-14,0,0.2,4, ,0,2,0.4, 
13-Mar-14,0,0,4, ,0,6.5,6, 
14-Mar-14,0,0,4, ,0,7,6, 
15-Mar-14,0,1.8,4, ,0,7.3,7, 
16-Mar-14,0,0.3,4, ,0,6.5,6.5, 
17-Mar-14,0,3.1,4, ,0,7.6,7.5, 
18-Mar-14,0,0.2,4, ,0,8.8,8, 
19-Mar-14,0,16.1,4, ,0,7.4,4.5, 
20-Mar-14,0,2.3,4, ,0,3.5,1.5, 
21-Mar-14,0,12,4, ,0,2.1,0.2, 
22-Mar-14,0,5.1,4, ,0,3,1, 
23-Mar-14,0,0.6,4, ,0,3.5,1.5, 
24-Mar-14,0,2,4, ,0,4.7,4.2, 
25-Mar-14,0,0.3,0,10.5,0,3,1.8, 
26-Mar-14,0,0.8,0,10.8,0,2.5,0.5, 
27-Mar-14,0,0,0,9.4,0,1,-0.5, 
28-Mar-14,0,1.9,0,8.9,0,3.5,2.5, 
29-Mar-14,0,7.5,0,10.5,0,5,4.5, 
30-Mar-14,0,2.3,0,13.4,0,6.8,6, 
31-Mar-14,0,0.5,0,14.9,0,3,2.5, 
01-Apr-14,0,0,0,15.2,0,7,5.5, 
02-Apr-14,0,2.2,0,13,0,9,7, 
